GEOCOD,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__y_,Long__x_
"RUA DIABASE, 187,SAO PAULO, SAO PAULO - BRASIL","076311058246000087","076","311","058246","00","0087",FO,FRE,"1",S,S,ZEU,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","150","126",RUA DIABASE,"187","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4934296","-46,6897732"
"RUA DIABASE, 201,SAO PAULO, SAO PAULO - BRASIL","076311058246000088","076","311","058246","00","0088",FO,FRE,"1",S,S,ZEU,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","166","128",RUA DIABASE,"201","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4933968","-46,6897247"
"RUA CEL JOAQUIM DE FREITAS, 310,SAO PAULO, SAO PAULO - BRASIL","075168105406000050","075","168","105406","00","0050",CV,LIM,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","350","636",RUA CEL JOAQUIM DE FREITAS,"310","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5020612","-46,670898"
"RUA ALVES PORTO, 59,SAO PAULO, SAO PAULO - BRASIL","068490009253000078","068","490","009253","00","0078",MG,VMD,"1",S,S,ZC,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","79","69",RUA ALVES PORTO,"59","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,491134","-46,5846125"
"RUA THOMAZ CYRO POZZI, 838,SAO PAULO, SAO PAULO - BRASIL","066089037680000264","066","089","037680","00","0264",JT,JAC,"1",S,S,ZEUP,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","89","75",RUA THOMAZ CYRO POZZI,"838","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4652733","-46,5793569"
"RUA SEBASTIAO MORAIS, 244,SAO PAULO, SAO PAULO - BRASIL","074043179540000467","074","043","179540","00","0467",CV,LIM,"1",S,S,ZEMP,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","737","940",RUA SEBASTIAO MORAIS,"244","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,50457","-46,67059"
"RUA MALIE BRENNER, 611,SAO PAULO, SAO PAULO - BRASIL","068084195456000074","068","084","195456","00","0074",ST,TUC,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","111","90",RUA MALIE BRENNER,"611","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4900044","-46,6003539"
"RUA LUCIA CAIAFFA, 58,SAO PAULO, SAO PAULO - BRASIL","077013120766000092","077","013","120766","00","0092",PJ,PIR,"1",S,S,ZEU,"0",,,"0","0",S,QA,"3",,,"0","0",MA,"16",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","273","225",RUA LUCIA CAIAFFA,"58","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4849336","-46,7185919"
"RUA LUCIA CAIAFFA, 56,SAO PAULO, SAO PAULO - BRASIL","077013120766000093","077","013","120766","00","0093",PJ,PIR,"1",S,S,ZEU,"0",,,"0","0",S,QA,"3",,,"0","0",MA,"16",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","359","225",RUA LUCIA CAIAFFA,"56","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4849336","-46,7185919"
"RUA ANTONIO CORREIA, 192,SAO PAULO, SAO PAULO - BRASIL","077133016357000152","077","133","016357","00","0152",PJ,PIR,"3",S,S,ZM,"0",,,"0","0",S,QA,"3",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","96","96",RUA ANTONIO CORREIA,"192","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,4978418","-46,7138603"
