GEOCOD,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__y_,Long__x_
"RUA MARCO BERTUOLO, 65,SAO PAULO, SAO PAULO,BRASIL","049450220256000069","049","450","220256","00","0069",IP,SAC,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","152","84",RUA MARCO BERTUOLO,"65","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,6204476","-46,6090837"
"RUA MARCO BERTUOLO, 67,SAO PAULO, SAO PAULO,BRASIL","049450220256000070","049","450","220256","00","0070",IP,SAC,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","152","84",RUA MARCO BERTUOLO,"67","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,620343","-46,6090584"
"RUA MARCO BERTUOLO, 69,SAO PAULO, SAO PAULO,BRASIL","049450220256000071","049","450","220256","00","0071",IP,SAC,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","152","84",RUA MARCO BERTUOLO,"69","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,6204102","-46,609073"
"RUA ATLANTICA, 280,SAO PAULO, SAO PAULO,BRASIL","013051024848000039","013","051","024848","00","0039",PI,JDP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","730",RUA ATLANTICA,"280","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,565212","-46,6754397"
"RUA ATLANTICA, 262,SAO PAULO, SAO PAULO,BRASIL","013051024848000040","013","051","024848","00","0040",PI,JDP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","394","670",RUA ATLANTICA,"262","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5651228","-46,6753061"
"RUA PARACATU, 812,SAO PAULO, SAO PAULO,BRASIL","047127154237000387","047","127","154237","00","0387",VM,SAU,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","740","965",RUA PARACATU,"812","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,6221505","-46,6335921"
"RUA JORGE TIBIRICA, 631,SAO PAULO, SAO PAULO,BRASIL","042061107085000084","042","061","107085","00","0084",VM,VMN,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","147","156",RUA JORGE TIBIRICA,"631","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5986617","-46,6286733"
"RUA JORGE TIBIRICA, 637,SAO PAULO, SAO PAULO,BRASIL","042061107085000085","042","061","107085","00","0085",VM,VMN,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","147","156",RUA JORGE TIBIRICA,"637","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5986624","-46,6285964"
"RUA GREGORIO SERRAO, 218,SAO PAULO, SAO PAULO,BRASIL","038072082155000262","038","072","082155","00","0262",VM,VMN,"1",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","2974",RUA GREGORIO SERRAO,"218","2","0","0",,U,,,LOTE CANCELADO,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5827007","-46,6354833"
"RUA PARAISOPOLIS, 131,SAO PAULO, SAO PAULO,BRASIL","058174154490000108","058","174","154490","00","0108",PE,VMT,"1",S,S,ZEIS-3,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","129","110",RUA PARAISOPOLIS,"131","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5310305","-46,510369"
