GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__Y_,Long__X_
"RUA SALVADOR DE MEDEIROS, 326,SAO PAULO, SAO PAULO - BRASIL","112279176575000020","112","279","176575","00","0020",MP,SMI,"2",S,S,ZEU,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","1452","984",RUA SALVADOR DE MEDEIROS,"326","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","0","-23,4909519","-46,4418559"
"RUA JOAO MARTINS, 427,SAO PAULO, SAO PAULO - BRASIL","112313103721000063","112","313","103721","00","0063",MP,VJA,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","311","311",RUA JOAO MARTINS,"427","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","0","-23,4951608","-46,4585134"
"RUA ANDRE BERNARDES, 11,SAO PAULO, SAO PAULO - BRASIL","112313013013000064","112","313","013013","00","0064",MP,VJA,"2",S,S,ZC,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","369","373",RUA ANDRE BERNARDES,"11","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","0","-23,495077","-46,4584812"
"RUA ETELVINA DE SOUZA COSTA, 24,SAO PAULO, SAO PAULO - BRASIL","112428347353030000","112","428","347353","03","0000",MP,SMI,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","250",RUA ETELVINA DE SOUZA COSTA,"24","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,4952711","-46,4356018"
"RUA ETELVINA DE SOUZA COSTA, 12,SAO PAULO, SAO PAULO - BRASIL","112428347353020000","112","428","347353","02","0000",MP,SMI,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","250",RUA ETELVINA DE SOUZA COSTA,"12","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTRE,"2023","1","-23,4958779","-46,4356609"
"PRACA SANTA QUITERIA, 33,SAO PAULO, SAO PAULO - BRASIL","113456167738000073","113","456","167738","00","0073",PE,AAL,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","109","84",PRACA SANTA QUITERIA,"33","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2023","0","-23,5282589","-46,4840314"
"PRACA SANTA QUITERIA, 37,SAO PAULO, SAO PAULO - BRASIL","113456167738000075","113","456","167738","00","0075",PE,AAL,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","109","84",PRACA SANTA QUITERIA,"37","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2023","0","-23,5282589","-46,4840314"
"PRACA SANTA QUITERIA, 35,SAO PAULO, SAO PAULO - BRASIL","113456167738000074","113","456","167738","00","0074",PE,AAL,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","109","83",PRACA SANTA QUITERIA,"35","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2023","0","-23,5282589","-46,4840314"
"RUA XIQUE XIQUE, 484,SAO PAULO, SAO PAULO - BRASIL","113137200069000144","113","137","200069","00","0144",PE,VMT,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","159","96",RUA XIQUE XIQUE,"484","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2023","0","-23,5405565","-46,5003417"
"RUA XIQUE XIQUE, 492,SAO PAULO, SAO PAULO - BRASIL","113137200069000142","113","137","200069","00","0142",PE,VMT,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","157","77",RUA XIQUE XIQUE,"492","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2023","0","-23,5405626","-46,5002661"
"RUA XIQUE XIQUE, 488,SAO PAULO, SAO PAULO - BRASIL","113137200069000143","113","137","200069","00","0143",PE,VMT,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","152","75",RUA XIQUE XIQUE,"488","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,TERCEIRO QUADRIMESTRE,"2023","0","-23,5405828","-46,5003385"
